ind,pop,sex,massa_g,crc_mm,gastropoda_n,gastropoda_v,araneae_n,araneae_v,coleoptera_n,coleoptera_v,hymenoptera_n,hymenoptera_v,orthoptera_n,orthoptera_v,lepidoptera_larva_n,lepidoptera_larva_v,isopoda_n,isopoda_v,chilopoda_n,chilopoda_v,diplopoda_n,diplopoda_v,lepidoptera_n,lepidoptera_v,anelida_n,anelida_v,dermaptera_n,dermaptera_v,blattodea_n,blattodea_v,neoroptera_n,neoroptera_v,otros,n_total,vol_total
1,A,M,7.8,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,170
2,A,M,11,38,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,1,400,0,0,0,0,0,0,0,0,0,0,272,2,714
3,A,F,12.3,45,0,0,0,0,0,0,0,0,1,368,2,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,818
4,A,M,16.2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,150,1,180
5,A,M,14.5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,432
6,A,F,23,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120
7,A,M,11.6,44,0,0,0,0,1,360,0,0,0,0,1,240,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,680,3,1310
8,A,M,12.7,45,0,0,1,360,0,0,0,0,0,0,2,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,3,1148
9,A,M,12.1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,144
10,A,M,14.6,44,0,0,0,0,1,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,1,381
11,A,M,11.9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99
12,A,M,17,46,1,126,0,0,0,0,0,0,1,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,2,2528
13,A,F,15.1,49,0,0,0,0,0,0,0,0,0,0,6,2395,1,35,0,0,0,0,0,0,1,168,0,0,0,0,0,0,365,8,2963
14,B,M,11.9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,B,M,9.35977,39,0,0,0,0,0,0,0,0,0,0,0,0,5,294,0,0,0,0,0,0,7,300,0,0,0,0,1,100,30,13,724
16,B,F,5,28,0,0,0,0,0,0,0,0,0,0,0,0,4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,86
17,B,M,6.1,30,0,0,0,0,0,0,0,0,0,0,0,0,3,49,0,0,1,64,0,0,0,0,0,0,0,0,0,0,84,4,197
18,B,M,8.02291,37,0,0,0,0,4,200,0,0,0,0,0,0,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,280
19,B,F,10.69663,41,0,0,1,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,960
20,B,M,12.70192,44,1,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,432
21,B,M,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,378,0,0,0,1,378
22,B,M,10.69663,41,3,180,0,0,3,223,0,0,0,0,1,20,0,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,132,9,591
23,B,M,6.5,30,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,83
24,B,M,6,25,1,35,0,0,2,70,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,205
25,B,M,5.9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,B,F,7.8,36,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
27,B,M,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,B,M,16.7125,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100
29,B,F,8.02291,37,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
30,B,M,4.8,23,1,9,0,0,2,40,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,199
31,B,M,5.2,31,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
32,B,F,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
33,B,M,7.35448,36,1,25,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45
34,B,M,4,24,0,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
