Isolate,local,lat,long
MT823893.1,"Brazil: Santa Catarina, agua Doce",-26.99686377,-51.55747358
MT823892.1,"Argentina: Buenos Aires, Sierra de la Ventana",-38.12934132,-61.78758161
MT823891.1,"Argentina: Buenos Aires, La Plata",-34.91101339,-57.89543779
MT823890.1,"Argentina: Corrientes, Lavalle, Ruta Nacional 12, km 853",-29.16379654,-58.86196896
MT823889.1,"Argentina: Buenos Aires, Escobar, El Cazador",-34.32079309,-58.75612096
MT823888.1,"Argentina: Entre Rios, Uruguay, Basavilbaso",-32.39435582,-58.86740102
MT823887.1,"Argentina: Buenos Aires, Balcarce, Laguna La Brava",-37.88461364,-57.98586142
MT823886.1,"Argentina: Buenos Aires, Balcarce, Laguna La Brava",-37.88461364,-57.98586142
MT823885.1,"Uruguay: San Jose, Libertad, Campo Experimental Facultad de Veterinaria",-34.37621068,-55.60188093
MT823884.1,"Uruguay: Rocha, Laguna Negra",-33.9655499,-53.63045189
MT823883.1,"Argentina: Misiones, Obera, San Martin",-27.47439357,-55.14410936
MT823882.1,"Brazil: Rio Grande do Sul, Cerro Largo",-28.10371863,-54.68360763
MT823881.1,"Brazil: Rio Grande do Sul, Sao Francisco de Paula",-29.33158172,-50.3215797
MW039712.1,"Brazil: Rio Grande do Sul, Cambara do Sul",-29.03145328,-50.20785255
AY549352.1,"Argentina: Buenos Aires, Carilo",-37.15826829,-56.90694276
AY549351.1,"Argentina: Entre Rios, Dto. Uruguay, Basavilbaso",-32.39435582,-58.86740102
AY549350.1,"Argentina: Buenos Aires, Escobar, El Cazador",-34.32937239,-58.75588595
AY549349.1,"Argentina: Buenos Aires, Sierra de la Ventana",-38.12804411,-61.79193903
AY549348.1,"Argentina: Buenos Aires, La Plata",-34.88589017,-57.93823655
