ID,Genero,sp,Local,Tratamento,LTh,TiL,TarL,FL,AL,FL,HL_M,ED,HW,HL_Rostro,Larg_Boca,Timpano,Disco_Ades_M,Disco_Ades_P,CRC,Massa (gramas)
2492,Boana,Boana_pulchella,D,undisturbed,18.96,19.86,10.61,15.51,5.86,6.52,11.05,3.69,3.28,12.33,9.58,1.75,1.02,0.83,39.39,1.95
2493,Scinax,Scinax_granulatus,D,undisturbed,14.65,17.99,10.37,15.83,5.94,7.15,9.90,2.75,2.19,11.73,9.81,1.51,1.25,1.30,35.80,1.30
2494,Scinax,Scinax_granulatus,D,undisturbed,12.82,15.85,8.67,11.70,5.29,6.10,8.18,3.19,1.04,10.86,6.59,1.19,1.11,1.08,31.44,0.50
2495,Scinax,Scinax_granulatus,D,undisturbed,13.70,17.37,10.81,16.84,5.97,6.34,10.33,2.77,1.47,10.41,8.37,1.84,1.26,1.11,34.14,1.35
2496,Scinax,Scinax_granulatus,D,undisturbed,13.65,18.70,11.06,15.65,6.36,6.46,9.24,3.23,1.88,11.24,7.59,1.63,1.26,0.97,33.73,1.55
2497,Scinax,Scinax_tymbamirim,D,undisturbed,8.45,11.79,5.35,8.32,2.87,3.56,5.84,1.72,1.54,7.19,4.49,0.83,0.62,0.63,22.73,0.45
2498,Scinax,Scinax_tymbamirim,D,undisturbed,9.01,11.09,7.74,8.38,3.94,3.18,6.27,2.79,0.82,8.15,4.79,0.94,0.49,0.65,21.49,0.45
2499,Leptodactylus,Leptodactylus_latrans,A,disturbed,30.63,32.24,19.68,33.16,9.70,11.81,17.13,8.14,6.56,25.01,14.26,3.44,NA,NA,65.65,20.25
2500,Leptodactylus,Leptodactylus_latrans,D,undisturbed,28.84,30.14,18.40,31.42,10.54,9.97,12.67,6.76,6.56,22.78,16.51,4.02,NA,NA,64.11,22.60
2501,Leptodactylus,Leptodactylus_latrans,A,disturbed,29.29,29.25,17.22,32.80,9.67,12.89,14.22,5.57,6.67,20.15,16.75,4.29,NA,NA,61.92,17.00
2502,Leptodactylus,Leptodactylus_latrans,A,disturbed,27.13,29.95,18.38,36.70,8.89,13.13,12.62,6.54,6.97,21.75,13.48,3.73,NA,NA,61.44,15.60
2508,Leptodactylus,Leptodactylus_latrans,B,disturbed,29.48,30.54,18.88,32.43,12.06,13.47,14.58,4.74,4.66,21.45,15.14,3.40,NA,NA,65.59,18.50
2509,Leptodactylus,Leptodactylus_latrans,B,disturbed,24.75,28.50,16.60,30.03,7.70,10.95,13.41,5.71,5.40,22.24,12.15,3.04,NA,NA,58.32,15.20
2510,Leptodactylus,Leptodactylus_latrans,B,disturbed,22.16,27.22,17.91,26.35,10.47,10.67,3.34,7.04,6.98,19.32,14.38,3.13,NA,NA,61.68,16.30
2520,Leptodactylus,Leptodactylus_latrans,D,undisturbed,26.27,28.82,17.32,26.29,9.53,11.40,14.25,6.59,9.05,19.98,13.77,3.03,NA,NA,61.18,21.00
2521,Pseudopaludicola,Pseudopaludicola_falcipes,D,undisturbed,6.95,6.80,NA,NA,2.30,1.83,2.38,1.54,1.47,5.83,3.34,0.65,NA,NA,14.01,0.10
2522,Dendropsophus,Dendropsophus_minutus,D,undisturbed,8.02,8.21,4.87,6.10,2.67,3.34,4.43,1.06,0.69,4.77,3.90,0.56,0.37,0.34,16.92,0.15
2523,Dendropsophus,Dendropsophus_minutus,D,undisturbed,11.20,12.10,6.32,8.06,3.06,4.47,5.99,1.88,1.32,8.30,5.91,1.27,0.83,NA,22.87,0.40
2524,Dendropsophus,Dendropsophus_minutus,D,undisturbed,11.39,11.18,5.71,7.90,3.62,3.72,5.24,2.30,1.54,7.13,5.32,0.87,0.70,0.59,21.38,0.40
2525,Dendropsophus,Dendropsophus_minutus,D,undisturbed,9.74,11.18,5.19,6.18,4.55,3.58,5.52,1.63,1.22,6.86,4.83,0.58,0.52,NA,24.03,0.50
2526,Dendropsophus,Dendropsophus_minutus,D,undisturbed,7.65,8.19,5.33,6.74,3.91,3.53,4.68,1.94,1.00,4.36,4.24,0.47,0.64,0.62,16.93,0.35
2527,Dendropsophus,Dendropsophus_minutus,D,undisturbed,8.17,8.61,4.31,6.38,3.27,2.85,4.62,1.65,1.35,5.46,3.58,0.39,0.35,0.34,15.12,0.50
2528,Dendropsophus,Dendropsophus_minutus,D,undisturbed,9.52,12.03,6.43,7.74,3.85,2.79,5.93,1.46,1.24,6.67,5.57,1.02,0.42,0.36,25.09,0.60
2529,Pseudis,Pseudis_minuta,A,disturbed,17.68,17.42,9.02,18.81,6.52,5.84,9.88,3.10,2.76,11.74,8.40,2.68,NA,NA,32.47,2.80
2530,Pseudis,Pseudis_minuta,A,disturbed,13.46,14.21,7.30,14.69,5.39,5.10,9.47,2.94,2.36,10.51,9.04,2.01,NA,NA,26.71,1.10
2531,Pseudis,Pseudis_minuta,A,disturbed,22.80,19.80,10.52,18.88,7.93,9.05,13.83,3.90,3.78,13.07,12.12,2.94,NA,NA,44.75,5.65
2532,Pseudis,Pseudis_minuta,A,disturbed,18.80,15.58,8.03,15.65,6.82,6.32,10.15,2.66,2.72,11.75,5.88,1.98,NA,NA,30.31,1.85
2533,Pseudis,Pseudis_minuta,A,disturbed,18.08,16.93,9.15,18.71,6.58,5.42,9.94,2.73,9.92,12.52,8.92,2.76,NA,NA,34.49,2.60
2534,Physalaemus,Physalaemus_biligonigerus,D,undisturbed,10.40,12.38,6.04,13.11,3.56,4.29,8.41,2.66,4.92,10.19,9.78,NA,NA,NA,32.15,2.15
2535,Rhinella,Rhinella_dorbignyi,D,undisturbed,12.51,14.25,9.97,16.49,6.24,8.30,8.52,4.77,4.39,12.55,13.77,2.93,NA,NA,43.36,5.45
2536,Physalaemus,Physalaemus_cuvieri,D,undisturbed,12.36,14.33,7.81,14.76,4.88,4.84,6.07,1.54,1.37,11.64,8.10,1.06,NA,NA,28.85,1.00
2537,Physalaemus,Physalaemus_cuvieri,D,undisturbed,12.58,13.17,7.68,13.06,4.88,6.40,7.19,2.89,1.74,10.09,7.89,1.09,NA,NA,28.19,1.10
2538,Physalaemus,Physalaemus_cuvieri,D,undisturbed,11.30,11.90,7.21,12.07,4.07,5.38,7.03,1.84,1.36,9.00,5.94,1.48,NA,NA,27.18,1.25
2539,Dendropsophus,Dendropsophus_minutus,D,undisturbed,8.42,8.25,5.83,6.09,13.13,3.22,4.90,1.60,1.49,6.63,4.17,NA,0.59,0.40,18.19,0.35
2540,Dendropsophus,Dendropsophus_minutus,D,undisturbed,7.53,9.05,5.59,6.96,2.62,3.53,3.62,1.21,1.08,5.49,4.22,0.57,0.34,0.61,18.32,0.35
2541,Dendropsophus,Dendropsophus_minutus,D,undisturbed,7.14,8.23,5.29,7.21,2.54,3.85,4.53,1.49,1.41,6.08,4.74,0.53,0.43,0.53,18.16,0.35
2542,Dendropsophus,Dendropsophus_minutus,D,undisturbed,8.04,8.75,5.81,6.29,3.23,3.98,4.01,1.43,1.52,5.23,4.30,0.82,0.62,0.40,18.51,0.20
2543,Scinax,Scinax_tymbamirim,D,undisturbed,9.97,11.93,7.98,10.24,3.38,3.82,5.92,2.10,1.65,7.98,4.77,1.00,0.86,0.84,22.83,0.60
2544,Scinax,Scinax_tymbamirim,D,undisturbed,9.38,11.40,6.67,10.46,4.51,3.58,5.12,1.94,1.33,7.85,6.26,1.03,0.75,0.96,23.23,0.45
2545,Scinax,Scinax_tymbamirim,D,undisturbed,9.09,12.37,8.20,10.07,4.10,3.94,6.50,2.11,1.47,8.03,5.74,1.01,1.02,0.98,23.06,0.50
2546,Pseudopaludicola,Pseudopaludicola_falcipes,D,undisturbed,7.28,7.72,5.25,9.13,2.74,2.36,4.40,1.55,1.97,6.45,3.46,0.79,NA,NA,14.48,0.20
2547,Scinax,Scinax_squalirostris,D,undisturbed,9.81,13.57,7.67,11.22,3.99,3.78,6.19,1.71,1.33,9.05,5.86,1.19,0.74,0.66,25.11,0.50
